,Data,Id,Tweet Text,UserName,Location,Hashtags
82,2017-04-09 11:49:26+00:00,851039345855344642,Gurgaon or Garbagegaon? My post as Citizen Reporter @timesofindia @TOIDelhi #swatchbharat #garbage #gurgaon https://t.co/IYIenSqFan,sourish247,,"['swatchbharat', 'garbage', 'gurgaon']"
83,2017-03-25 03:21:27+00:00,845475691537842176,"@RadhamohanBJP sir
Please Ban use of #plastic bags for packing milk! Instead #glass_bottles must be used! Environment protection and healthy",GauravBansal016,"Uttam Nagar, New Delhi","['plastic', 'glass_bottles']"
84,2017-03-19 13:28:34+00:00,843454148603498496,"The waste dustbin turned beautifully 
#wastemanagement 
#dustbin
#inspiration 
#instagardner… https://t.co/8ARuM0u1aa",ajaykumarjha197,"दिल्ली, भारत","['wastemanagement', 'dustbin', 'inspiration', 'instagardner']"
85,2017-03-09 05:25:41+00:00,839708750415986688,Today is a good day to read about how this grocery store helps you shop trash-free https://t.co/yLq9PKmqBm #zerowaste #wastemanagement,VibhutiJaswal,"Mumbai, India","['zerowaste', 'wastemanagement']"
86,2017-02-28 06:52:38+00:00,836469140009332736,"What do #Cows &amp; #Cattle have to do on #Delhi roads? What do they eat other than #Plastic? #AAP #BJP sleep! Delhi ignored.
GobindPuri Kalkaji https://t.co/dfbWnhjXTa",SK_Chowdhary,New Delhi,"['Cows', 'Cattle', 'Delhi', 'Plastic', 'AAP', 'BJP']"
87,2017-01-18 13:58:11+00:00,821718328695734273,"*Must Watch* to see how #BJP
backed-up #MCD is using #Filth/
 #Garbage as tools of #Rampant
Corruption in #Delhi ! 🎅
https://t.co/WqmByaRIlt",gsrandhir,"New Delhi, India","['BJP', 'MCD', 'Filth', 'Garbage', 'Rampant', 'Delhi']"
88,2017-01-09 09:51:21+00:00,818394723559743488,"#NGT issues notice to Centre, Delhi govt on plea challenging city govt's 2012 notification imposing a blanket ban on use of #plastic bags",FinancialXpress,India,"['NGT', 'plastic']"
89,2017-01-03 16:58:15+00:00,816327827494764544,"Magic happens...... and created also 
##instagram 
#instagram 
#instaphoto 
#wastemanagement… https://t.co/v2hv9y56KG",ajaykumarjha197,"दिल्ली, भारत","['instagram', 'instagram', 'instaphoto', 'wastemanagement']"
90,2017-01-03 16:50:42+00:00,816325927445655552,"Silence speaks louder
#instagram 
#instaphoto 
#flowers 
#wastemanagement 
#plasticbottles
Lets… https://t.co/WAOoSvBMnW",ajaykumarjha197,"दिल्ली, भारत","['instagram', 'instaphoto', 'flowers', 'wastemanagement', 'plasticbottles']"
91,2017-01-03 14:10:35+00:00,816285633505271810,"# Instagram
 #instaphoto photo 
#santoshivatika 
#flowers 
#wastemanagement
# tinyplants… https://t.co/2zIvfjoT9g",ajaykumarjha197,"दिल्ली, भारत","['instaphoto', 'santoshivatika', 'flowers', 'wastemanagement']"
